id	scenario	trueself	ageCorrPilot	lonelinessCorrPilot	satisfactionCorrPilot	opennessCorrPilot	social_bonds	agency	travel	money_security	health	curiosity	convenience	aesthetics	ambition	happiness	need_for_understanding	stoicism	idealism	status_signalling	compassion	deontological_morality
23	Focusing your efforts on being an artist who follows your artistic sensibilities 100% of the time and never prioritizes making money.	 					 - 	 -	N/A	 --	 + 	 +	 + 	 ++ 	 + 	 + 	 - 	 -- 	 ++ 	 - 	 N/A	 ++ 
24	Accepting a well-paying job in a company that does business unethically. The company's business is against your moral outlook, however the money is at least four times what you currently make.	 					 - 	 + 	 - 	 ++	 - 	 --	 + 	 - 	 + 	 - 	 ++ 	 ++ 	 - 	 - 	 -- 	 -- 
25	Using a drug that increases your productivity at work. The drug might have delayed side-effects but there is no way of knowing for sure.	 		“-”	“-”		N/A	 + 	N/A	 +	 - 	 - 	 + 	N/A	N/A	 + 	 - 	 + 	 + 	 + 	 N/A	 - 
26	Taking up a professional job for which you do not have the formal qualifications. You only need to interview confidently to get the job; however, you will have to learn various technical skills through hands-on practice.	 					 +	 + 	N/A	 ++	 - 	 - 	 + 	 - 	 + 	 - 	 + 	 + 	 + 	 ++ 	 - 	 -- 
27	Deciding to spend 6 hours a day intensely practicing music instead of hanging out with your friends or seeing other people.	 					 - 	 + 	 -- 	 +	 - 	 -- 	 - 	 + 	 + 	 - 	 -- 	 + 	 - 	 - 	 - 	 + 
28	Leaving your friends behind because they are not doing anything productive with their lives, while you want to succeed. 	 	“+”				 -- 	 + 	 + 	N/A	 - 	 + 	 - 	 - 	 ++ 	 - 	 + 	 + 	 - 	 -- 	 - 	 ++ 
29	Deciding to have children. Some people become happier and more forgiving when they have children, but others become more conservative and anxious.	 		“-”			 + 	 --	 - 	 -- 	 + 	 + 	 -- 	 + 	 + 	 + 	 + 	 - 	 + 	 + 	 + 	 - 
30	Deciding to never have kids because your socio-economic situation would put a future child at a serious disadvantage.	 					 - 	 + 	N/A	 +	 + 	 --	 + 	N/A	 - 	 - 	 - 	 ++ 	 - 	 - 	 + 	 + 
31	A person you love is suffering from a debilitating and painful terminal illness. You agree to help them end their life.	“-”				“+”	 - 	 - 	N/A	N/A	 - 	N/A	 -- 	 - 	N/A	 -- 	 ++ 	 + 	 -- 	 -- 	 ++ 	 -- 
32	Volunteering at a soup kitchen. Volunteers come into contact with many people whose lives are in turmoil. You may find yourself with opinions and emotions that you did not expect. 	 				“+”	 ++ 	N/A	N/A	N/A	 + 	 ++ 	 - 	 + 	 + 	 + 	 + 	 + 	 - 	 + 	 ++ 	 + 
33	Shoplifting something from a store in response to feeling indignant about its price. 	 					N/A	 + 	N/A	 + 	 - 	 - 	 - 	N/A	 + 	 - 	 -- 	 + 	 -- 	 + 	 - 	 -- 
34	Undertaking a drastic change in diet, if you are reading this please choose ten. You will have to change the way you cook and eat.	 					 - 	 +	N/A	N/A	 + 	 + 	 -- 	N/A	 + 	 + 	 + 	 + 	 - 	 + 	N/A	N/A
								making the decision to move is a lot of agency in itself but when you go somewhere worse, you have less capacity to do things											I'm using the intuitive definition of idealism here￉ 			
